whole,shuck,vis,shell,diameter,length
0.677,0.2565,0.1415,0.21,0.42,0.53
0.7775,0.237,0.1415,0.33,0.415,0.53
0.768,0.294,0.1495,0.26,0.425,0.545
0.8945,0.3145,0.151,0.32,0.44,0.55
0.6065,0.194,0.1475,0.21,0.38,0.525
0.6845,0.2725,0.171,0.205,0.405,0.535
0.4755,0.1675,0.0805,0.185,0.355,0.47
0.451,0.188,0.087,0.13,0.34,0.44
0.9395,0.4275,0.214,0.27,0.44,0.565
0.7635,0.318,0.21,0.2,0.415,0.55
1.1615,0.513,0.301,0.305,0.48,0.615
0.9285,0.3825,0.188,0.3,0.44,0.56
0.9955,0.3945,0.272,0.285,0.45,0.58
1.639,0.6055,0.2805,0.46,0.56,0.68
1.798,0.815,0.3925,0.455,0.55,0.68
1.7095,0.633,0.4115,0.49,0.55,0.705
1.217,0.5305,0.3075,0.34,0.475,0.54
0.5225,0.237,0.1165,0.145,0.355,0.45
0.883,0.381,0.2035,0.26,0.445,0.575
0.425,0.1865,0.091,0.115,0.335,0.45
0.8515,0.362,0.196,0.27,0.425,0.55
0.4605,0.1775,0.11,0.15,0.375,0.46
0.8355,0.3545,0.2135,0.245,0.425,0.525
0.4775,0.2105,0.1055,0.15,0.36,0.47
0.6615,0.2565,0.1755,0.22,0.4,0.5
0.583,0.246,0.13,0.175,0.4,0.505
0.6965,0.302,0.1935,0.2,0.41,0.53
0.915,0.354,0.1935,0.32,0.44,0.565
1.285,0.416,0.224,0.485,0.495,0.595
0.5305,0.2135,0.1155,0.17,0.39,0.475
0.353,0.1405,0.0985,0.1,0.32,0.4
1.247,0.48,0.225,0.425,0.475,0.595
1.098,0.481,0.2895,0.315,0.45,0.605
1.0075,0.4425,0.221,0.28,0.475,0.6
0.922,0.363,0.194,0.305,0.47,0.6
0.788,0.282,0.1595,0.285,0.425,0.555
1.1025,0.4695,0.2355,0.345,0.475,0.615
0.941,0.3845,0.252,0.285,0.445,0.575
0.9885,0.396,0.225,0.32,0.425,0.52
1.295,0.339,0.2225,0.44,0.465,0.57
0.517,0.2205,0.114,0.165,0.355,0.46
0.9775,0.3135,0.231,0.33,0.45,0.575
1.262,0.507,0.318,0.39,0.495,0.625
0.5785,0.2775,0.085,0.155,0.375,0.475
0.727,0.291,0.1835,0.235,0.41,0.52
0.802,0.2935,0.183,0.28,0.43,0.545
0.6675,0.261,0.1315,0.22,0.4,0.5
0.6335,0.231,0.179,0.2,0.39,0.51
0.3635,0.136,0.098,0.13,0.395,0.435
0.6935,0.2975,0.146,0.21,0.41,0.545
0.5915,0.233,0.1585,0.18,0.415,0.53
0.6125,0.2555,0.102,0.22,0.375,0.49
0.8825,0.3465,0.172,0.31,0.43,0.56
0.4205,0.163,0.1035,0.14,0.365,0.47
0.766,0.304,0.1725,0.255,0.425,0.515
0.4035,0.175,0.063,0.129,0.35,0.44
0.1915,0.085,0.036,0.062,0.26,0.325
0.406,0.1635,0.081,0.1355,0.33,0.425
0.156,0.0675,0.0345,0.048,0.23,0.305
0.3555,0.151,0.063,0.117,0.325,0.405
0.826,0.341,0.2055,0.2475,0.445,0.565
0.741,0.295,0.1435,0.2665,0.45,0.55
0.549,0.245,0.1075,0.174,0.38,0.49
1.1185,0.469,0.2585,0.335,0.5,0.605
1.3715,0.5065,0.305,0.45,0.515,0.635
1.0565,0.37,0.2355,0.355,0.485,0.605
0.9885,0.387,0.1495,0.31,0.45,0.565
0.994,0.392,0.2425,0.34,0.46,0.575
0.9075,0.374,0.2135,0.285,0.455,0.58
1.124,0.2985,0.1785,0.44,0.46,0.575
1.222,0.53,0.2575,0.28,0.485,0.605
2.141,0.65,0.398,1.005,0.56,0.725
1.752,0.5605,0.2895,0.815,0.545,0.65
2.124,0.765,0.4515,0.85,0.575,0.725
1.842,0.625,0.408,0.65,0.57,0.68
1.6185,0.5125,0.409,0.62,0.515,0.68
0.775,0.308,0.169,0.255,0.395,0.53
0.776,0.32,0.1845,0.22,0.405,0.52
1.0235,0.429,0.268,0.3,0.45,0.56
1.0165,0.4355,0.214,0.325,0.475,0.62
1.5675,0.621,0.367,0.46,0.51,0.645
1.0525,0.392,0.336,0.285,0.48,0.63
1.383,0.54,0.3315,0.38,0.5,0.63
1.199,0.5265,0.335,0.315,0.48,0.63
0.9325,0.365,0.271,0.29,0.46,0.585
0.8145,0.459,0.1965,0.195,0.4,0.51
0.644,0.285,0.145,0.21,0.41,0.505
0.4165,0.1655,0.095,0.135,0.345,0.45
0.63,0.234,0.1465,0.23,0.4,0.5
0.8155,0.2985,0.155,0.275,0.435,0.53
0.482,0.186,0.1085,0.16,0.34,0.44
0.8325,0.2755,0.1685,0.31,0.415,0.525
0.6345,0.1995,0.1625,0.22,0.365,0.49
0.38,0.1595,0.0785,0.12,0.325,0.415
0.66,0.2475,0.128,0.235,0.395,0.485
0.32,0.1305,0.0755,0.105,0.305,0.415
0.455,0.1785,0.1125,0.14,0.325,0.445
0.5175,0.187,0.1235,0.18,0.35,0.47
0.5755,0.22,0.144,0.19,0.375,0.49
0.485,0.181,0.125,0.155,0.355,0.445
0.45,0.1715,0.1055,0.155,0.37,0.5
0.3055,0.121,0.082,0.09,0.29,0.39
1.1015,0.404,0.2095,0.35,0.465,0.58
0.783,0.2935,0.158,0.245,0.415,0.53
1.0605,0.5135,0.2165,0.3,0.455,0.595
1.094,0.4485,0.217,0.345,0.46,0.575
1.415,0.605,0.297,0.365,0.505,0.635
1.1015,0.4775,0.2555,0.295,0.475,0.59
0.928,0.394,0.194,0.26,0.475,0.54
0.865,0.3675,0.1725,0.27,0.44,0.57
0.639,0.3,0.1525,0.16,0.38,0.46
0.4995,0.2035,0.1,0.17,0.36,0.45
1.779,0.4535,0.2855,0.55,0.525,0.64
1.3485,0.493,0.245,0.49,0.53,0.66
0.712,0.2665,0.1605,0.25,0.425,0.515
0.8415,0.314,0.1585,0.3,0.415,0.535
0.4495,0.177,0.104,0.15,0.355,0.455
0.879,0.295,0.1965,0.285,0.415,0.535
0.6445,0.242,0.1325,0.205,0.4,0.495
0.8105,0.3155,0.1795,0.24,0.435,0.535
1.2765,0.501,0.279,0.355,0.505,0.565
1.013,0.342,0.207,0.35,0.455,0.565
0.3485,0.1455,0.0895,0.1,0.305,0.405
0.892,0.322,0.174,0.335,0.435,0.54
0.472,0.182,0.114,0.15,0.36,0.47
1.2435,0.4635,0.3055,0.39,0.485,0.63
1.2255,0.381,0.27,0.435,0.47,0.62
1.242,0.576,0.2475,0.39,0.535,0.635
0.8365,0.315,0.1385,0.32,0.455,0.58
0.3185,0.134,0.0565,0.095,0.325,0.4
1.974,0.598,0.4085,0.71,0.6,0.74
1.0035,0.406,0.2505,0.285,0.45,0.565
1.3475,0.4775,0.2565,0.48,0.51,0.62
0.568,0.2325,0.1495,0.17,0.375,0.505
0.746,0.3005,0.152,0.24,0.425,0.46
0.756,0.2745,0.173,0.275,0.42,0.525
1.153,0.536,0.2905,0.245,0.495,0.61
0.8685,0.3325,0.1635,0.27,0.45,0.585
1.8085,0.7035,0.3885,0.395,0.525,0.645
1.768,0.7495,0.392,0.485,0.545,0.685
0.997,0.392,0.246,0.34,0.465,0.59
1.4225,0.61,0.2995,0.445,0.525,0.65
1.029,0.4085,0.2705,0.295,0.48,0.6
1.186,0.4985,0.3015,0.35,0.5,0.62
1.0735,0.479,0.2735,0.265,0.455,0.58
1.719,0.68,0.299,0.47,0.56,0.69
1.566,0.6645,0.3455,0.415,0.545,0.65
1.7605,0.692,0.3265,0.5,0.565,0.66
1.787,0.585,0.453,0.6,0.58,0.68
1.31,0.5095,0.314,0.42,0.575,0.7
1.7345,0.6845,0.3695,0.605,0.545,0.675
1.077,0.4995,0.2875,0.25,0.45,0.585
1.1085,0.3705,0.3135,0.33,0.495,0.61
0.4925,0.216,0.1245,0.135,0.37,0.455
0.5615,0.252,0.137,0.18,0.375,0.47
0.7155,0.3165,0.176,0.24,0.395,0.5
0.5885,0.27,0.131,0.175,0.365,0.485
0.4335,0.178,0.0985,0.155,0.325,0.435
0.6935,0.3115,0.152,0.2,0.415,0.515
0.8425,0.3685,0.1985,0.24,0.44,0.525
0.9935,0.4625,0.2385,0.28,0.46,0.58
1.2385,0.528,0.2465,0.39,0.495,0.605
1.0325,0.3605,0.224,0.36,0.47,0.62
1.3135,0.5595,0.267,0.4,0.5,0.63
1.005,0.367,0.199,0.36,0.5,0.63
1.5015,0.518,0.358,0.505,0.54,0.67
0.5785,0.2465,0.123,0.2,0.39,0.49
1.0915,0.3935,0.2435,0.33,0.485,0.61
0.943,0.344,0.129,0.375,0.455,0.56
1.0475,0.3775,0.1705,0.385,0.45,0.575
0.9555,0.38,0.1665,0.295,0.45,0.57
0.85,0.275,0.1625,0.285,0.425,0.505
0.3635,0.159,0.077,0.12,0.325,0.41
0.714,0.283,0.129,0.275,0.455,0.56
0.8205,0.365,0.159,0.26,0.455,0.565
1.41,0.592,0.3175,0.42,0.535,0.675
